frame,mse,rmse,mae,psnr,snr,ssim,mmd,capacity_bits,embedded_bits,capacity_ratio,embed_time_sec
84,0.008207304526748971,0.09059417490517241,0.008207304526748971,68.98879812928638,55.78643601409013,0.9999393304252969,0.00023919753086687479,6282,6282,1.0,0.16257023811340332
49,0.00816358024691358,0.0903525331516144,0.00816358024691358,69.01199694703318,55.73072796670478,0.9999336502017755,0.000390946502058398,6326,6326,1.0,0.15557479858398438
41,0.007407407407407408,0.08606629658238704,0.007407407407407408,69.43414129362917,56.16429675838633,0.9999457116470002,0.00015946502057317957,5939,5939,1.0,0.14043641090393066
27,0.008153292181069959,0.09029558228988813,0.008153292181069959,69.01747354904396,55.772386881063596,0.9999341510498656,0.000751028806583065,6374,6374,1.0,0.14580607414245605
18,0.008070987654320988,0.08983867571553461,0.008070987654320988,69.0615367787123,55.81353878344663,0.9999279670248687,0.0008179012345692627,6281,6281,1.0,0.14647245407104492
68,0.00791409465020576,0.08896119744138879,0.00791409465020576,69.14679120874689,56.099051336919004,0.9999422059571356,0.0003369341563796979,6232,6232,1.0,0.15126729011535645
112,0.008428497942386832,0.09180685128238977,0.008428497942386832,68.87330175739771,55.11955190960664,0.9999332991289828,7.458847736785401e-05,6296,6296,1.0,0.14386820793151855
94,0.007790637860082304,0.08826459006919085,0.007790637860082304,69.21507343789291,55.52224009033609,0.9999279303912174,0.00025977366255602874,6216,6216,1.0,0.1432361602783203
113,0.00823559670781893,0.09075018847263586,0.00823559670781893,68.97385289538866,55.386147790698246,0.9999283401858944,0.0006738683127593958,6402,6402,1.0,0.1416921615600586
24,0.007867798353909465,0.08870061078656373,0.007867798353909465,69.17227140137469,55.93502344418872,0.9999333291549073,0.0006095679012361188,6296,6296,1.0,0.1396784782409668
44,0.007613168724279836,0.0872534739954796,0.007613168724279836,69.31514906063208,56.02321628480106,0.9999434671275619,0.00037037037037634946,5888,5888,1.0,0.14404010772705078
37,0.007752057613168725,0.08804576999020865,0.007752057613168725,69.23663369143534,55.99007383886098,0.9999292016372143,0.0006481481481444007,6032,6032,1.0,0.1464402675628662
97,0.007934670781893005,0.08907676903600065,0.007934670781893005,69.13551448752887,55.36886308839393,0.9999295035159679,9.002057613116676e-05,6229,6229,1.0,0.14278507232666016
1,0.008040123456790123,0.08966673550871651,0.008040123456790123,69.07817643438979,55.892295978642736,0.9999322706561417,0.0006584362139889777,6177,6177,1.0,0.13875484466552734
138,0.008104423868312758,0.09002457369136917,0.008104423868312758,69.04358213948147,56.1389601958136,0.9999371276177893,7.458847736074858e-05,6358,6358,1.0,0.14459848403930664
28,0.008248456790123457,0.09082101513484342,0.008248456790123457,68.96707657193707,55.709716688230316,0.9999342548480804,0.000455246913581675,6351,6351,1.0,0.13226008415222168
59,0.007944958847736626,0.08913449863962115,0.007944958847736626,69.12988708820697,55.994351563588125,0.9999368187146659,0.00017232510288067715,6312,6312,1.0,0.1401989459991455
96,0.00798611111111111,0.08936504412303006,0.00798611111111111,69.10745012609549,55.342493718272706,0.9999293775543362,2.3148148152074555e-05,6229,6229,1.0,0.1442573070526123
78,0.007818930041152264,0.08842471397269128,0.007818930041152264,69.19933033513394,56.12196741229244,0.9999459068428159,6.172839506035643e-05,6113,6113,1.0,0.14743375778198242
90,0.007705761316872428,0.08778246588512098,0.007705761316872428,69.26264808094719,55.858584355126446,0.9999405591027553,0.00014403292180986682,5995,5995,1.0,0.13796377182006836
150,0.008199588477366255,0.09055157909924186,0.008199588477366255,68.99288304398073,56.588761238598686,0.9999239408862516,0.00047839506172664414,6369,6369,1.0,0.13491439819335938
141,0.007988683127572017,0.08937943347086072,0.007988683127572017,69.10605165729608,56.26019837122766,0.9999370415643688,0.0001543209876544438,6256,6256,1.0,0.1425304412841797
